title,budget,imdb_id,original_language,original_title,overview,release_date,runtime,tagline,revenue
A Question of Faith,0,tt6054650,en,A Question of Faith,"When Tragedy Strikes three Families, their Destiny forces them on a coverging path and mercy as the challenges of their fate could also resurrect their beliefs",29/09/2017,104.0,,2587072
Bad Samaritan,0,tt3203528,en,Bad Samaritan,"A thieve makes a disturbing discovery in the house where he breaks in. Later, when he returns to the same house with his partner in crime, things are not longer how he expected.",19/04/2018,111.0,,3435047
Unsane,1500000,tt7153766,en,Unsane,A woman is involuntarily committed to a mental institution where she is confronted by her greatest fear.,21/02/2018,99.0,Is she or isn't she?,14293601
The Catcher Was a Spy,0,tt4602066,en,The Catcher Was a Spy,"Major league baseball player, Moe Berg, lives a double life working for the Office of Strategic Services.",22/06/2018,98.0,Based on the True Story of Moe Berg,122494
The Insult,3000000,tt7048622,fr,L'Insulte,"After an emotional exchange between a Lebanese Christian and a Palestinian refugee escalates, the men end up in a court case that gets national attention.",14/09/2017,112.0,Words Change Everything,1001305
Gogol. The Beginning,0,tt6628228,ru,Ð“Ð¾Ð³Ð¾Ð»ÑŒ. ÐÐ°Ñ‡Ð°Ð»Ð¾,"The year 1829. Nikolay Gogol, a young Third Section clerk, is desperate: his own books seem shallow and mediocre, so he keeps buying entire print runs just to burn them all. He is suffering from violent epileptic seizures and struggles to keep on working. Investigator Yakov Guro accidentally witnesses one such fit and realizes that Gogol's visions contain clues that could help solve actual crimes. Together, Gogol and Guro take on a particularly weird and baffling case that brings them to a small village of Dikanka, where everyone has a huge secret to hide.",31/08/2017,100.0,The Darkest Night Before Dawn,7747660
Gogol. Viy,0,tt7910444,ru,Ð“Ð¾Ð³Ð¾Ð»ÑŒ. Ð’Ð¸Ð¹,"A mysterious Dark Horseman slays young girls near the village of Dikanka, and he has already butchered 11 ladies. Nikolai Gogol, a scribe from Saint Petersburg has to take charge of the investigation, but the closer he gets to solving the case, the more fits he has, causing macabre visions. When he learns the next victim is his beloved, Liza, he doubts that he can protect her and resist the murderer. Fortunately, he meets somebody who can help him: Khoma Brut, the witch hunter, martial artist and philosopher. Together they spend three dreadful nights in an old chapel reading the funeral service for Ulyana, the witch, and calling upon the ghastly evil spirit Viy.",05/04/2018,99.0,Don't Leave The Circle,7403878
Jane,0,tt7207238,en,Jane,"Drawing from never-before-seen footage that has been tucked away in the National Geographic archives, director Brett Morgen tells the story of Jane Goodall, a woman whose chimpanzee research revolutionized our understanding of the natural world.",10/09/2017,90.0,It took a woman to unlock the secret of early man,109424
Shubh Mangal Saavdhan,0,tt6971752,hi,Shubh Mangal Saavdhan,A couple fall in love but then the groom discovers that he suffers from erectile dysfunction.,01/09/2017,119.0,,8838757
Traffik,4000000,tt5670152,en,Traffik,"A couple off for a romantic weekend in the mountains are accosted by a biker gang. Alone in the mountains, Brea and John must defend themselves against the gang, who will stop at nothing to protect their secrets.",20/04/2018,96.0,Refuse To Be A Victim,5132274
Arjun Reddy,780000,tt7294534,te,à°…à°°à±à°œà±à°¨à± à°°à±†à°¡à±à°¡à°¿,A short-tempered medical college student Arjun Reddy falls in love with his junior Preeti who shares an intimate relationship with him for years. The couple are forced to break up when Preeti's father arranges for her to be married to another man in her caste. The impact of the break-up affects Arjun who becomes an alcoholic and drug addict who realizes his ways and tries to redeem himself and get back to normal.,25/08/2017,187.0,,8000000
Uncle Drew,19000000,tt7334528,en,Uncle Drew,Uncle Drew recruits a squad of older basketball players to return to the court to compete in a tournament.,27/06/2018,103.0,Respect your elders.,17665000
Teen Titans Go! To the Movies,10000000,tt7424200,en,Teen Titans Go! To the Movies,"It seems that all the major superheroes out there are starring in their own movies -- all but the Teen Titans. Robin is bound and determined to remedy that situation by becoming a star instead of a sidekick. With a few madcap ideas and a song in their hearts, the Teen Titans head to Hollywood to fulfill their dreams. Things soon go awry, however, when a supervillain plans to take over the planet -- putting the very fate of the young heroes on the line.",27/07/2018,84.0,The superhero movie to end all superhero movies. Hopefully.,28646544
"Paul, Apostle of Christ",5000000,tt7388562,en,"Paul, Apostle of Christ","Risking his life, Luke ventures to Rome to visit Paul -- the apostle who's bound in chains and held captive in Nero's darkest and bleakest prison cell. Haunted by the shadows of his past misdeeds, Paul wonders if he's been forgotten as he awaits his grisly execution. Before Paul's death, Luke resolves to write another book that details the birth of what will come to be known as the church.",23/03/2018,108.0,Where sin abounds... grace abounds more,22525668
Bullet Head,0,tt6204340,en,Bullet Head,A group of career criminals finds itself trapped in a warehouse with the law â€“ and an Attack Dog named DeNiro closing in.,07/12/2017,93.0,,87465
Let There Be Light,0,tt5804314,en,Let There Be Light,An atheist goes through a near-death experience in an auto accident before converting to Christianity.,27/10/2017,100.0,,7233471
Blessed Madness,0,tt7022404,it,Benedetta follia,A man dedicated to religion and very faithful husband suddenly finds himself single. The new shop assistant in his shop will overwhelm his life.,11/01/2018,109.0,,4154000
The Vegetable,8166084,tt7187860,it,Il vegetale,"Fabio struggles with a cumbersome father and a capricious and spoiled little sister who consider him a good for nothing, a â€œvegetableâ€ in fact. The unfortunate recent graduate looks for a job reacts to the contempt of his family and demanding employers, when an unexpected event remixes rolesâ€¦",18/01/2018,,,8475827
There Is No Place Like Home,0,tt7105944,it,A casa tutti bene,"A big family that like any other one includes relatives that see each other often and others that rarely meet, reunite to celebrate the 50th wedding anniversary of grandma Alba and grandpa Pietro in a big Villa, on the island they moved to. Because of weather conditions they all remain stranded on the island and the idyll between them seems to be over.",14/02/2018,105.0,,8198518
BlacKkKlansman,15000000,tt7349662,en,BlacKkKlansman,"Ron Stallworth, an African-American police officer from Colorado, successfully manages to infiltrate the local Ku Klux Klan and become the head of the local chapter.",09/08/2018,135.0,Infiltrate hate,48271960
Eighth Grade,0,tt7014006,en,Eighth Grade,Thirteen-year-old Kayla endures the tidal wave of contemporary suburban adolescence as she makes her way through the last week of middle school â€” the end of her thus far disastrous eighth grade year â€” before she begins high school.,13/07/2018,94.0,,13498185
American Animals,3000000,tt6212478,en,American Animals,"Lexington, Kentucky, 2004. Four young men attempt to execute one of the most audacious art heists in the history of the United States.",01/06/2018,117.0,You don't know where the line is until you cross it,2847319
Three Identical Strangers,0,tt7664504,en,Three Identical Strangers,"New York, 1980: three complete strangers accidentally discover that they're identical triplets, separated at birth. The 19-year-olds' joyous reunion catapults them to international fame, but also unlocks an extraordinary and disturbing secret that goes beyond their own lives - and could transform our understanding of human nature forever.",29/06/2018,96.0,They didn't know they were brothers. But someone did.,1041955
Searching,0,tt7668870,en,Searching,"After his 16-year-old daughter goes missing, a desperate father breaks into her laptop to look for clues to find her. A thriller that unfolds entirely on computer screens.",24/08/2018,101.0,No one is lost without a trace,66265218
Won't You Be My Neighbor?,0,tt7681902,en,Won't You Be My Neighbor?,"Fred Rogers used puppets and play to explore complex social issues: race, disability, equality and tragedy, helping form the American concept of childhood. He spoke directly to children and they responded enthusiastically. Yet today, his impact is unclear. Have we lived up to Fred's ideal of good neighbors?",08/06/2018,93.0,A little kindness makes a world of difference.,1848863
RBG,0,tt7689964,en,RBG,"Justice Ruth Bader Ginsburg now 84, and still inspired by the lawyers who defended free speech during the Red Scare, Ginsburg refuses to relinquish her passionate duty, steadily fighting for equal rights for all citizens under the law. Through intimate interviews and unprecedented access to Ginsburgâ€™s life outside the court, RBG tells the electric story of Ginsburgâ€™s consuming love affairs with both the Constitution and her beloved husband Martyâ€”and of a lifeâ€™s work that led her to become an icon of justice in the highest court in the land.",04/05/2018,96.0,Hero. Icon. Dissenter.,2002767
Operation Finale,0,tt5208252,en,Operation Finale,"15 years after the end of  World War II, a team of Israeli secret agents is assigned to track down Adolf Eichmann, the infamous Nazi architect of the Holocaust, reported hiding in Argentina, and smuggle him back to Israel for trial.  A true story.",29/08/2018,122.0,"After World War II, Hitler's deadliest lieutenant escaped.",17506878
